,num_nodes,num_edges,avg_degree,max_degree,degree_variance,degree_skewness,num_strongly_connected_components,avg_betweenness,max_betweenness,avg_closeness,max_closeness,avg_eigenvector,max_eigenvector
count,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
mean,56.96,55.96,1.9502658437854559,5.8133333333333335,1.4697177181281837,1.1578526244845182,56.96,0.005968958287461289,0.032612970162785485,0.03708334961873792,0.044769391402313445,0.04009106769484345,0.6747011732966098
std,27.210065251790766,27.210065251790766,0.05147502885345822,1.5430583536516205,0.36970220827834827,0.5319178998988296,27.210065251790766,0.0063464348188360335,0.0242235129344488,0.0306474606636178,0.04493920572694931,0.034900206208515805,0.21609487797668847
min,4.0,3.0,1.5,2.0,0.25,0.0,4.0,0.0011428235550965228,0.00868232890704801,0.009390741935770287,0.010465724751439037,0.005952527606654311,0.28865926542547155
25%,43.0,42.0,1.9534883720930232,5.0,1.2747009988862983,0.859840022391761,43.0,0.0028491212011259185,0.01770858249731489,0.023435208101029115,0.026829481792717085,0.0212085749815047,0.49992851593287757
50%,57.0,56.0,1.9649122807017543,6.0,1.408942023351616,1.07506551300119,57.0,0.004211801357557865,0.026136036813344837,0.02820666540492204,0.032275132275132276,0.029614460531712322,0.6417981611556015
75%,68.75,67.75,1.970907928388747,6.0,1.6113257224011712,1.3437763417743411,68.75,0.0061229535735423035,0.0377347077042199,0.03637003838415799,0.04272486772486772,0.04567979469787421,0.925154738723556
max,184.0,183.0,1.9891304347826086,15.0,3.2706786618918686,3.9241480911603883,184.0,0.041666666666666664,0.16666666666666666,0.27777777777777773,0.4444444444444444,0.25099749953385275,0.9999960159898129
