,num_nodes,num_edges,avg_degree,max_degree,degree_variance,degree_skewness,num_strongly_connected_components,avg_betweenness,max_betweenness,avg_closeness,max_closeness,avg_eigenvector,max_eigenvector
count,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0,1757.0
mean,57.36767216846898,56.36767216846898,1.9547416399648956,5.590210586226522,1.4186166353579341,1.039708980136994,57.36767216846898,0.005709602169087483,0.031590712277701875,0.034354744889341655,0.04108091155131252,0.035949902914846045,0.6981367101209953
std,25.47027482471384,25.47027482471384,0.045276488174222994,1.4264327852849232,0.36403152142530565,0.5262710534678967,25.47027482471384,0.00458808357893042,0.019611420701324093,0.02567898626695554,0.04077949492443848,0.030144512051107325,0.21043892520988317
min,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.007107994952705502,0.008037825059101654,0.004825455294252413,0.2672295250541077
25%,43.0,42.0,1.9534883720930232,5.0,1.1975,0.7029162129706441,43.0,0.0031068319542280603,0.018849206349206348,0.023416467446318194,0.02691511387163561,0.020143981685639925,0.49998400027537354
50%,56.0,55.0,1.9642857142857142,5.0,1.349375,0.9377409546282303,56.0,0.004487179487179488,0.027118644067796613,0.028578104795637264,0.03296703296703297,0.028671005207329722,0.7069011874325037
75%,70.0,69.0,1.9714285714285715,6.0,1.5691609977324266,1.24338510528863,70.0,0.006792717086834734,0.039627039627039624,0.03668161541915695,0.04285714285714286,0.04104256182053225,0.9993335367776418
max,236.0,235.0,1.9915254237288136,15.0,4.102259215219976,4.66608494993171,236.0,0.05277777777777778,0.16666666666666666,0.5,1.0,0.5007047205837583,0.9999990053348863
