,num_nodes,num_edges,avg_degree,max_degree,degree_variance,degree_skewness,num_weakly_connected_components,num_strongly_connected_components,avg_betweenness,max_betweenness,avg_closeness,max_closeness,avg_eigenvector,max_eigenvector
count,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
mean,19.6,18.533333333333335,1.7708735378512253,4.333333333333333,1.1310583248990775,1.0507764020353203,1.0666666666666667,19.6,0.02332539826905463,0.0810549501661104,0.12928491800350655,0.17733707005887453,0.16649759371674447,0.6800020789942347
std,18.44218766074908,18.473404306371542,0.19515981261338536,1.3451854182690985,0.5066284779953266,0.41281465324381955,0.25819888974716115,18.44218766074908,0.0418116707876132,0.12465769015201582,0.0996468056050857,0.16404563564409014,0.14704498907548372,0.1915069755399744
min,3.0,2.0,1.3333333333333333,2.0,0.2222222222222222,0.22826882356360775,1.0,3.0,0.0,0.0,0.023580123580123576,0.027692307692307697,0.022039005611373282,0.4082239981196805
25%,8.0,7.0,1.6666666666666667,3.0,0.75,0.718907857814834,1.0,8.0,0.002215219421101774,0.01120048019207683,0.062263725817005566,0.07685881370091896,0.06572387943623545,0.5773248747732425
50%,12.0,11.0,1.8333333333333333,4.0,1.19,1.1547005383792517,1.0,12.0,0.012280701754385965,0.05555555555555555,0.10536368393511251,0.14545454545454548,0.11861292328297424,0.70696782677454
75%,24.5,23.5,1.9155172413793102,5.5,1.4361065197428835,1.269758245485144,1.0,24.5,0.025,0.09090909090909091,0.14722222222222223,0.18333333333333335,0.23405332106914883,0.7070935236356453
max,66.0,65.0,1.9696969696969697,6.0,2.222222222222222,1.7888543819998317,2.0,66.0,0.16666666666666666,0.5,0.38888888888888884,0.6666666666666666,0.433391043053697,0.999997018338697
