,num_nodes,num_edges,avg_degree,max_degree,degree_variance,degree_skewness,num_strongly_connected_components,avg_betweenness,max_betweenness,avg_closeness,max_closeness,avg_eigenvector,max_eigenvector
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,53.07142857142857,52.07142857142857,1.9410216521893957,5.357142857142857,1.347652312475759,0.9387225195461822,53.07142857142857,0.0052559345578884155,0.02814567542857676,0.041101408502058956,0.05098572655237855,0.050133955710776106,0.6330962953132705
std,20.19696963451652,20.19696963451652,0.07962683345394403,1.2774459408789602,0.33784560031443006,0.4012823925873629,20.19696963451652,0.0040112961616733745,0.015084158429159155,0.0431429932397493,0.06273528216307085,0.05619999527034906,0.23745865391999568
min,6.0,5.0,1.6666666666666667,3.0,0.5555555555555557,0.4861790701342882,6.0,0.0019308826710437584,0.01382791922739245,0.018707686282137693,0.02089864158829676,0.015446934347384972,0.3333172618519718
25%,42.0,41.0,1.9523035230352304,5.0,1.1990162495845462,0.658909936343299,42.0,0.002765453504450782,0.01683031703247337,0.026128439567409893,0.029810855263157895,0.023269246929278738,0.46035324750981976
50%,56.5,55.5,1.964576802507837,5.0,1.2591446702648,0.8342784572625461,56.5,0.0032520178922570532,0.019136837500911278,0.027786788413426855,0.032055447260125616,0.03591213761774349,0.6033976743515624
75%,63.5,62.5,1.9684485006518906,6.0,1.5321491743416193,1.0505311373923707,63.5,0.006771773601785212,0.033671171171171174,0.037347953254965455,0.043693181818181825,0.049075009229044286,0.7070884015225749
max,88.0,87.0,1.9772727272727273,8.0,1.9980246913580244,2.014247210426132,88.0,0.016666666666666666,0.05803571428571428,0.18888888888888888,0.26666666666666666,0.23654038884888126,0.9998186078004953
